Id 	 Expenditure 	 Points 	 Eligibility
216 	 305 	 1831 	 false
217 	 316 	 1897 	 false
218 	 316 	 1897 	 false
219 	 281 	 1687 	 false
220 	 281 	 1687 	 false
221 	 153 	 919 	 false
222 	 153 	 919 	 false
223 	 287 	 1723 	 false
224 	 287 	 1723 	 false
225 	 320 	 1920 	 false
226 	 300 	 1801 	 false
227 	 213 	 1279 	 false
228 	 174 	 1045 	 false
229 	 196 	 1177 	 false
230 	 196 	 1177 	 false
231 	 363 	 2179 	 false
232 	 363 	 2179 	 false
233 	 213 	 1279 	 false
234 	 174 	 1045 	 false
235 	 275 	 1647 	 false
236 	 275 	 1647 	 false
237 	 157 	 943 	 false
238 	 157 	 943 	 false
239 	 133 	 799 	 false
240 	 133 	 799 	 false
241 	 83 	 499 	 false
242 	 83 	 499 	 false
243 	 369 	 2215 	 false
244 	 318 	 1909 	 false
245 	 291 	 1747 	 false
246 	 268 	 1609 	 false
247 	 78 	 469 	 false
248 	 78 	 469 	 false
249 	 394 	 2365 	 false
250 	 310 	 1861 	 false
251 	 83 	 499 	 false
252 	 83 	 499 	 false
253 	 426 	 2557 	 false
254 	 426 	 2557 	 false
255 	 212 	 1272 	 false
256 	 212 	 1272 	 false
257 	 78 	 469 	 false
258 	 78 	 469 	 false
259 	 516 	 3097 	 true
260 	 516 	 3097 	 true
261 	 228 	 1369 	 false
262 	 228 	 1369 	 false
263 	 205 	 1231 	 false
264 	 205 	 1231 	 false
265 	 168 	 1009 	 false
266 	 168 	 1009 	 false
267 	 128 	 769 	 false
268 	 128 	 769 	 false
269 	 254 	 1525 	 false
270 	 254 	 1525 	 false
271 	 325 	 1950 	 false
272 	 325 	 1950 	 false
273 	 291 	 1747 	 false
274 	 268 	 1609 	 false
275 	 275 	 1647 	 false
276 	 275 	 1647 	 false
277 	 128 	 769 	 false
278 	 128 	 769 	 false
279 	 213 	 1279 	 false
280 	 174 	 1045 	 false
281 	 168 	 1009 	 false
282 	 168 	 1009 	 false
283 	 298 	 1789 	 false
284 	 242 	 1453 	 false
285 	 216 	 1297 	 false
286 	 216 	 1297 	 false
287 	 193 	 1159 	 false
288 	 193 	 1159 	 false
289 	 98 	 589 	 false
290 	 98 	 589 	 false
291 	 74 	 445 	 false
292 	 74 	 445 	 false
293 	 278 	 1669 	 false
294 	 278 	 1669 	 false
295 	 78 	 469 	 false
296 	 78 	 469 	 false
297 	 369 	 2215 	 false
298 	 318 	 1909 	 false
299 	 83 	 499 	 false
300 	 83 	 499 	 false
301 	 78 	 469 	 false
302 	 78 	 469 	 false
303 	 165 	 991 	 false
304 	 165 	 991 	 false
305 	 76 	 457 	 false
306 	 76 	 457 	 false
307 	 178 	 1069 	 false
308 	 178 	 1069 	 false
309 	 607 	 3643 	 true
310 	 504 	 3025 	 true
311 	 198 	 1189 	 false
312 	 198 	 1189 	 false
313 	 448 	 2689 	 false
314 	 448 	 2689 	 false
315 	 221 	 1327 	 false
316 	 221 	 1327 	 false
317 	 78 	 469 	 false
318 	 78 	 469 	 false
319 	 148 	 889 	 false
320 	 148 	 889 	 false
321 	 218 	 1309 	 false
322 	 218 	 1309 	 false
323 	 349 	 2094 	 false
324 	 349 	 2094 	 false
325 	 245 	 1471 	 false
326 	 245 	 1471 	 false
327 	 218 	 1309 	 false
328 	 218 	 1309 	 false
329 	 168 	 1009 	 false
330 	 168 	 1009 	 false
331 	 539 	 3235 	 true
332 	 539 	 3235 	 true
333 	 195 	 1171 	 false
334 	 195 	 1171 	 false
335 	 338 	 2029 	 false
336 	 338 	 2029 	 false
337 	 83 	 499 	 false
338 	 83 	 499 	 false
339 	 585 	 3511 	 true
340 	 540 	 3241 	 true
341 	 395 	 2371 	 false
342 	 395 	 2371 	 false
343 	 184 	 1105 	 false
344 	 184 	 1105 	 false
345 	 256 	 1537 	 false
346 	 256 	 1537 	 false
347 	 328 	 1969 	 false
348 	 328 	 1969 	 false
349 	 450 	 2701 	 false
350 	 450 	 2701 	 false
351 	 183 	 1099 	 false
352 	 183 	 1099 	 false
353 	 807 	 4840 	 true
354 	 807 	 4840 	 true
355 	 113 	 679 	 false
356 	 113 	 679 	 false
357 	 216 	 1297 	 false
358 	 216 	 1297 	 false
359 	 174 	 1045 	 false
360 	 558 	 3349 	 true
361 	 558 	 3349 	 true
362 	 373 	 2240 	 false
363 	 373 	 2240 	 false
364 	 473 	 2839 	 false
365 	 473 	 2839 	 false
366 	 181 	 1087 	 false
367 	 181 	 1087 	 false
368 	 471 	 2827 	 false
369 	 471 	 2827 	 false
370 	 512 	 3073 	 true
371 	 512 	 3073 	 true
372 	 565 	 3392 	 true
373 	 565 	 3392 	 true
374 	 698 	 4189 	 true
375 	 698 	 4189 	 true
376 	 113 	 679 	 false
377 	 113 	 679 	 false
378 	 324 	 1945 	 false
379 	 324 	 1945 	 false
380 	 218 	 1309 	 false
381 	 218 	 1309 	 false
382 	 334 	 2005 	 false
383 	 334 	 2005 	 false
384 	 301 	 1807 	 false
385 	 301 	 1807 	 false
386 	 210 	 1261 	 false
387 	 210 	 1261 	 false
388 	 196 	 1177 	 false
389 	 196 	 1177 	 false
390 	 203 	 1219 	 false
391 	 203 	 1219 	 false
392 	 98 	 589 	 false
393 	 98 	 589 	 false
394 	 173 	 1039 	 false
395 	 173 	 1039 	 false
396 	 98 	 589 	 false
397 	 98 	 589 	 false
398 	 313 	 1879 	 false
399 	 313 	 1879 	 false
400 	 198 	 1189 	 false
401 	 198 	 1189 	 false
402 	 405 	 2431 	 false
403 	 405 	 2431 	 false
404 	 198 	 1189 	 false
405 	 198 	 1189 	 false
406 	 325 	 1951 	 false
407 	 325 	 1951 	 false
408 	 98 	 589 	 false
409 	 98 	 589 	 false
410 	 607 	 3643 	 true
411 	 504 	 3025 	 true
412 	 489 	 2934 	 false
413 	 489 	 2934 	 false
414 	 525 	 3150 	 true
415 	 525 	 3150 	 true
416 	 292 	 1754 	 false
417 	 292 	 1754 	 false
418 	 333 	 1999 	 false
419 	 333 	 1999 	 false
420 	 357 	 2144 	 false
421 	 357 	 2144 	 false
422 	 228 	 1369 	 false
423 	 228 	 1369 	 false
424 	 322 	 1934 	 false
425 	 322 	 1934 	 false
426 	 286 	 1717 	 false
427 	 286 	 1717 	 false
428 	 377 	 2263 	 false
429 	 377 	 2263 	 false
430 	 476 	 2855 	 false
431 	 476 	 2855 	 false
432 	 378 	 2266 	 false
433 	 378 	 2266 	 false
434 	 257 	 1544 	 false
435 	 257 	 1544 	 false
436 	 310 	 1862 	 false
437 	 310 	 1862 	 false
438 	 329 	 1972 	 false
439 	 329 	 1972 	 false
440 	 441 	 2646 	 false
441 	 441 	 2646 	 false
442 	 178 	 1069 	 false
443 	 178 	 1069 	 false
444 	 512 	 3073 	 true
445 	 512 	 3073 	 true
446 	 98 	 589 	 false
447 	 98 	 589 	 false
448 	 213 	 1279 	 false
449 	 174 	 1045 	 false
450 	 123 	 739 	 false
451 	 123 	 739 	 false
452 	 203 	 1219 	 false
453 	 203 	 1219 	 false
454 	 98 	 589 	 false
455 	 98 	 589 	 false
456 	 338 	 2029 	 false
457 	 338 	 2029 	 false
458 	 205 	 1231 	 false
459 	 205 	 1231 	 false
460 	 213 	 1279 	 false
461 	 252 	 1514 	 false
462 	 252 	 1514 	 false
463 	 275 	 1647 	 false
464 	 275 	 1647 	 false
465 	 148 	 889 	 false
466 	 148 	 889 	 false
467 	 508 	 3046 	 true
468 	 508 	 3046 	 true
469 	 149 	 895 	 false
470 	 149 	 895 	 false
471 	 292 	 1753 	 false
472 	 292 	 1753 	 false
473 	 282 	 1690 	 false
474 	 282 	 1690 	 false
475 	 175 	 1051 	 false
476 	 175 	 1051 	 false
477 	 275 	 1647 	 false
478 	 275 	 1647 	 false
479 	 213 	 1279 	 false
480 	 174 	 1045 	 false
481 	 148 	 889 	 false
482 	 148 	 889 	 false
483 	 149 	 895 	 false
484 	 149 	 895 	 false
485 	 76 	 457 	 false
486 	 76 	 457 	 false
487 	 178 	 1069 	 false
488 	 178 	 1069 	 false
489 	 83 	 499 	 false
490 	 83 	 499 	 false
491 	 278 	 1669 	 false
492 	 278 	 1669 	 false
493 	 128 	 769 	 false
494 	 128 	 769 	 false
495 	 78 	 469 	 false
496 	 78 	 469 	 false
497 	 357 	 2142 	 false
498 	 296 	 1777 	 false
499 	 213 	 1279 	 false
500 	 174 	 1045 	 false
501 	 69 	 414 	 false
502 	 69 	 414 	 false
503 	 179 	 1075 	 false
504 	 179 	 1075 	 false
505 	 325 	 1950 	 false
506 	 325 	 1950 	 false
507 	 395 	 2371 	 false
508 	 395 	 2371 	 false
509 	 196 	 1177 	 false
510 	 196 	 1177 	 false
511 	 281 	 1687 	 false
512 	 281 	 1687 	 false
513 	 391 	 2347 	 false
514 	 391 	 2347 	 false
515 	 175 	 1049 	 false
516 	 175 	 1049 	 false
517 	 69 	 414 	 false
518 	 69 	 414 	 false
519 	 69 	 414 	 false
520 	 69 	 414 	 false
521 	 109 	 655 	 false
522 	 109 	 655 	 false
523 	 370 	 2220 	 false
524 	 370 	 2220 	 false
525 	 292 	 1753 	 false
526 	 292 	 1753 	 false
527 	 147 	 883 	 false
528 	 147 	 883 	 false
529 	 279 	 1675 	 false
530 	 279 	 1675 	 false
531 	 221 	 1327 	 false
532 	 221 	 1327 	 false
533 	 184 	 1105 	 false
534 	 184 	 1105 	 false
535 	 218 	 1309 	 false
536 	 218 	 1309 	 false
537 	 585 	 3511 	 true
538 	 540 	 3241 	 true
539 	 213 	 1279 	 false
540 	 174 	 1045 	 false
541 	 448 	 2689 	 false
542 	 448 	 2689 	 false
543 	 78 	 469 	 false
544 	 78 	 469 	 false
545 	 103 	 619 	 false
546 	 103 	 619 	 false
547 	 168 	 1009 	 false
548 	 168 	 1009 	 false
549 	 139 	 831 	 false
550 	 139 	 831 	 false
551 	 169 	 1015 	 false
552 	 169 	 1015 	 false
553 	 234 	 1405 	 false
554 	 234 	 1405 	 false
555 	 181 	 1087 	 false
556 	 181 	 1087 	 false
557 	 394 	 2365 	 false
558 	 394 	 2365 	 false
559 	 513 	 3079 	 true
560 	 513 	 3079 	 true
561 	 140 	 841 	 false
562 	 140 	 841 	 false
563 	 127 	 763 	 false
564 	 127 	 763 	 false
565 	 163 	 979 	 false
566 	 163 	 979 	 false
567 	 153 	 919 	 false
568 	 153 	 919 	 false
569 	 224 	 1345 	 false
570 	 224 	 1345 	 false
571 	 291 	 1747 	 false
572 	 259 	 1555 	 false
573 	 193 	 1159 	 false
574 	 193 	 1159 	 false
575 	 373 	 2239 	 false
576 	 373 	 2239 	 false
577 	 550 	 3299 	 true
578 	 550 	 3299 	 true
579 	 58 	 349 	 false
580 	 58 	 349 	 false
581 	 196 	 1177 	 false
582 	 196 	 1177 	 false
583 	 180 	 1081 	 false
584 	 180 	 1081 	 false
585 	 449 	 2695 	 false
586 	 449 	 2695 	 false
587 	 394 	 2365 	 false
588 	 310 	 1861 	 false
589 	 251 	 1507 	 false
590 	 251 	 1507 	 false
591 	 471 	 2827 	 false
592 	 471 	 2827 	 false
593 	 259 	 1554 	 false
594 	 259 	 1554 	 false
595 	 284 	 1705 	 false
596 	 284 	 1705 	 false
597 	 318 	 1909 	 false
598 	 305 	 1831 	 false
599 	 267 	 1603 	 false
600 	 267 	 1603 	 false
601 	 231 	 1387 	 false
602 	 231 	 1387 	 false
603 	 479 	 2874 	 false
604 	 479 	 2874 	 false
605 	 223 	 1339 	 false
606 	 223 	 1339 	 false
607 	 298 	 1789 	 false
608 	 242 	 1453 	 false
609 	 203 	 1219 	 false
610 	 203 	 1219 	 false
611 	 453 	 2720 	 false
612 	 453 	 2720 	 false
613 	 118 	 709 	 false
614 	 118 	 709 	 false
615 	 412 	 2473 	 false
616 	 412 	 2473 	 false
617 	 512 	 3073 	 true
618 	 512 	 3073 	 true
619 	 387 	 2322 	 false
620 	 387 	 2322 	 false
621 	 155 	 931 	 false
622 	 155 	 931 	 false
623 	 174 	 1045 	 false
624 	 334 	 2005 	 false
625 	 334 	 2005 	 false
626 	 140 	 841 	 false
627 	 140 	 841 	 false
628 	 549 	 3295 	 true
629 	 549 	 3295 	 true
630 	 119 	 715 	 false
631 	 119 	 715 	 false
632 	 78 	 469 	 false
633 	 78 	 469 	 false
634 	 302 	 1813 	 false
635 	 302 	 1813 	 false
636 	 439 	 2635 	 false
637 	 439 	 2635 	 false
638 	 199 	 1194 	 false
639 	 540 	 3241 	 true
640 	 540 	 3241 	 true
641 	 289 	 1734 	 false
642 	 289 	 1734 	 false
643 	 365 	 2190 	 false
644 	 365 	 2190 	 false
645 	 76 	 457 	 false
646 	 76 	 457 	 false
647 	 212 	 1272 	 false
648 	 212 	 1272 	 false
649 	 163 	 979 	 false
650 	 163 	 979 	 false
651 	 125 	 749 	 false
652 	 125 	 749 	 false
653 	 70 	 421 	 false
654 	 70 	 421 	 false
655 	 128 	 769 	 false
656 	 128 	 769 	 false
657 	 221 	 1327 	 false
658 	 221 	 1327 	 false
659 	 371 	 2227 	 false
660 	 371 	 2227 	 false
661 	 348 	 2089 	 false
662 	 348 	 2089 	 false
663 	 213 	 1279 	 false
664 	 174 	 1045 	 false
665 	 83 	 499 	 false
666 	 83 	 499 	 false
667 	 109 	 655 	 false
668 	 109 	 655 	 false
669 	 231 	 1387 	 false
670 	 231 	 1387 	 false
671 	 334 	 2005 	 false
672 	 334 	 2005 	 false
673 	 69 	 414 	 false
674 	 69 	 414 	 false
675 	 246 	 1477 	 false
676 	 246 	 1477 	 false
677 	 245 	 1471 	 false
678 	 245 	 1471 	 false
679 	 450 	 2701 	 false
680 	 450 	 2701 	 false
681 	 123 	 739 	 false
682 	 123 	 739 	 false
683 	 89 	 535 	 false
684 	 89 	 535 	 false
685 	 83 	 499 	 false
686 	 83 	 499 	 false
687 	 258 	 1549 	 false
688 	 258 	 1549 	 false
689 	 203 	 1219 	 false
690 	 203 	 1219 	 false
691 	 278 	 1669 	 false
692 	 278 	 1669 	 false
693 	 639 	 3835 	 true
694 	 639 	 3835 	 true
695 	 134 	 805 	 false
696 	 134 	 805 	 false
697 	 159 	 955 	 false
698 	 159 	 955 	 false
699 	 98 	 589 	 false
700 	 98 	 589 	 false
701 	 241 	 1448 	 false
702 	 241 	 1448 	 false
703 	 503 	 3019 	 true
704 	 503 	 3019 	 true
705 	 144 	 861 	 false
706 	 409 	 2455 	 false
707 	 409 	 2455 	 false
708 	 159 	 954 	 false
709 	 159 	 954 	 false
710 	 98 	 589 	 false
711 	 98 	 589 	 false
712 	 196 	 1177 	 false
713 	 196 	 1177 	 false
714 	 140 	 841 	 false
715 	 140 	 841 	 false
716 	 131 	 787 	 false
717 	 131 	 787 	 false
718 	 78 	 469 	 false
719 	 78 	 469 	 false
720 	 149 	 895 	 false
721 	 149 	 895 	 false
722 	 138 	 829 	 false
723 	 138 	 829 	 false
724 	 83 	 499 	 false
725 	 83 	 499 	 false
726 	 313 	 1881 	 false
727 	 313 	 1881 	 false
728 	 231 	 1387 	 false
729 	 231 	 1387 	 false
730 	 83 	 499 	 false
731 	 83 	 499 	 false
732 	 196 	 1177 	 false
733 	 196 	 1177 	 false
734 	 464 	 2782 	 false
735 	 464 	 2782 	 false
736 	 332 	 1989 	 false
737 	 332 	 1989 	 false
738 	 205 	 1231 	 false
739 	 205 	 1231 	 false
740 	 398 	 2389 	 false
741 	 398 	 2389 	 false
742 	 341 	 2047 	 false
743 	 341 	 2047 	 false
744 	 428 	 2570 	 false
745 	 428 	 2570 	 false
746 	 267 	 1603 	 false
747 	 267 	 1603 	 false
748 	 254 	 1525 	 false
749 	 254 	 1525 	 false
750 	 83 	 499 	 false
751 	 83 	 499 	 false
752 	 183 	 1099 	 false
753 	 183 	 1099 	 false
